uid,name_en,poi,country,province,city,address,tel
10036813,Fairmont Newport Beach,"33.66742900000000,-117.86246500000000",us,CA,Newport Beach,"4500 Macarthur Boulevard, Newport Beach, CA 92660",+1(949)4762001
10026234,Hyatt Place North Raleigh-Midtown,"35.82870458505,-78.6214363574",us,NC,Raleigh,"1105 Navaho Drive, Raleigh, NC 27609",+1(919)8779997
10026431,Hyatt Place El Paso Airport,"31.78097925748,-106.412394046",us,TX,El Paso,"6028 Surety Drive, El Paso, TX 79905",+1(915)7710022
10030637,Candlewood Suites Jacksonville,"30.247413,-81.584071",us,FL,Jacksonville,"4870 Belfort Road, Jacksonville, FL 32256",+1(904)2967785
10037116,MGM Grand Las Vegas,"36.102576,-115.170253",us,NV,Las Vegas,"3799 South Las Vegas Boulevard, Las Vegas, NV 89109",+1(877)8800880
10037078,Wynn Las Vagas,"36.12649,-115.165739",us,NV,Las Vegas,"3131 South Las Vegas Boulevard, Las Vegas, NV 89109",+1(877)3219966
10037140,New York - New York Hotel & Casino Las Vegas,"36.102372,-115.174556",us,NV,Las Vegas,"3790 South Las Vegas Boulevard, Las Vegas, NV 89109",+1(866)8154365
10036811,"Fairmont Heritage Place, Inspiration, Miramar Beach, Florida","30.39606200000000,-86.32498000000000",us,FL,Miramar Beach,"8109 Inspiration Drive, Miramar Beach, FL 32550",+1(850)2694500
10031438,Holiday Inn Evansville Airport,"38.043395,-87.542057",us,IN,Evansville,"7027 U.S. 41, Evansville, IN 47725",+1(812)8677999
10036809,The Fairmont Orchid,"19.95112300000000,-155.85969000000000",us,HI,Waimea,"68-1200 North Kaniku Drive, Waimea, HI 96743",+1(808)8852000
10036810,The Fairmont Kea Lani,"20.67442000000000,-156.44117400000000",us,HI,Kihei,"557 Kaukahi Street, Kihei, HI 96753",+1(808)8754100
10036814,Fairmont Pittsburgh,"40.44147900000000,-80.00189700000000",us,PA,Pittsburgh,"510 Market Street, Pittsburgh, PA 15222",+1(800)4411414
10037131,The Mirage Las Vegas,"36.121196,-115.174074",us,NV,Las Vegas,"3400 South Las Vegas Boulevard, Las Vegas, NV 89109",+1(800)3749000
10030644,Candlewood Suites Junction City/Ft. Riley,"39.022087,-96.825004",us,KS,Junction City,"324-478 East Chestnut Street, Junction City, KS 66441",+1(785)2381454
10031177,Holiday Inn Atlanta/Roswell,"34.027726,-84.334759",us,GA,Roswell,"911-931 Holcomb Bridge Road, Roswell, GA 30076",+1(770)8171414
10031945,Holiday Inn Patriot-Williamsburg,"37.30678,-76.729859",us,VA,Williamsburg,"379-399 Patriot Lane, Williamsburg, VA 23185",+1(757)5652600
10036822,The Fairmont Sonoma Mission Inn & Spa,"38.31379800000000,-122.48253300000000",us,CA,Sonoma,"52-100 Boyes Boulevard, Sonoma, CA 95476",+1(707)9389000
10031721,Holiday Inn Leesburg At Carradoc Hall,"39.091325,-77.523066",us,VA,Leesburg,"1514-1524 Harry Byrd Highway, Leesburg, VA 20176",+1(703)7719200
10030586,Candlewood Suites FARGO-N. DAKOTA STATE UNIV.,"46.9045,-96.8081",us,ND,Fargo,"1702-1826 19th Avenue North, Fargo, ND 58102",+1(701)2358200
10026221,Hyatt Place Columbus,"33.523115,-88.438092",us,MS,Columbus,"2023 U.S. 45, Columbus, MS 39705",+1(662)3701800
10030756,Candlewood Suites San Diego,"32.757972,-117.17575",us,CA,San Diego,"1335 Hotel Circle South, San Diego, CA 92108",+1(619)2993501
10036805,"The Fairmont Copley Plaza, Boston","42.34935500000000,-71.07624300000001",us,MA,Boston,"138 Saint James Avenue, Boston, MA 02116",+1(617)2675300
10030615,Candlewood Suites Horseheads - Elmira,"42.161113,-76.865489",us,NY,Horseheads,"178 Colonial Drive, Horseheads, NY 14845",+1(607)8737676
10031604,Holiday Inn Hotel & Suites Phoenix Airport North,"33.46439,-111.98703",us,AZ,Phoenix,"1401-1497 North 44th Street, Phoenix, AZ 85008",+1(602)2448800
10030411,Waldorf Astoria Panama,"40.0432973,-105.2442087",us,CO,Boulder,"3785 47th Street, Boulder, CO 80301",+1(507)2948000
