uid,name_en,tel
10036823,"Fairmont Heritage Place, Franz Klammer Lodge",+1(970)7283318
10036813,Fairmont Newport Beach,+1(949)4762001
10026234,Hyatt Place North Raleigh-Midtown,+1(919)8779997
10026431,Hyatt Place El Paso Airport,+1(915)7710022
10030637,Candlewood Suites Jacksonville,+1(904)2967785
10037116,MGM Grand Las Vegas,+1(877)8800880
10037078,Wynn Las Vagas,+1(877)3219966
10037140,New York - New York Hotel & Casino Las Vegas,+1(866)8154365
10036811,"Fairmont Heritage Place, Inspiration, Miramar Beach, Florida",+1(850)2694500
10031438,Holiday Inn Evansville Airport,+1(812)8677999
10036809,The Fairmont Orchid,+1(808)8852000
10036810,The Fairmont Kea Lani,+1(808)8754100
10036814,Fairmont Pittsburgh,+1(800)4411414
10037131,The Mirage Las Vegas,+1(800)3749000
10030644,Candlewood Suites Junction City/Ft. Riley,+1(785)2381454
10031177,Holiday Inn Atlanta/Roswell,+1(770)8171414
10031945,Holiday Inn Patriot-Williamsburg,+1(757)5652600
10036822,The Fairmont Sonoma Mission Inn & Spa,+1(707)9389000
10031721,Holiday Inn Leesburg At Carradoc Hall,+1(703)7719200
10030586,Candlewood Suites FARGO-N. DAKOTA STATE UNIV.,+1(701)2358200
10026221,Hyatt Place Columbus,+1(662)3701800
10030756,Candlewood Suites San Diego,+1(619)2993501
10036805,"The Fairmont Copley Plaza, Boston",+1(617)2675300
10030615,Candlewood Suites Horseheads - Elmira,+1(607)8737676
10031604,Holiday Inn Hotel & Suites Phoenix Airport North,+1(602)2448800
10030411,Waldorf Astoria Panama,+1(507)2948000
10036818,"Fairmont Heritage Place, El Corazon de Santa Fe",+1(505)9956569
10036820,Fairmont Scottsdale Princess,+1(480)5854848
10031343,Holiday Inn Cleveland-West (Westlake),+1(440)8716000
10036815,The Fairmont San Francisco,+1(415)7725000
10036816,"Fairmont Heritage Place, Ghirardelli Square",+1(415)2689900
10036817,The Fairmont San Jose,+1(408)9981900
10032012,Holiday Inn Resort Daytona Beach Oceanfront,+1(386)2550921
10036728,The Langham Chicago,+1(312)9239988
10036806,"Fairmont Chicago, Millennium Park",+1(312)5658000
10036819,Fairmont Miramar Hotel & Bungalows,+1(310)5767777
10031410,Holiday Inn Dover-Downtown,+1(302)7475050
10031954,Holiday Inn Pewaukee-Milwaukee West,+1(262)5066300
10030919,Crowne Plaza Executive Center Baton Rouge,+1(225)9252244
10030534,Candlewood Suites Champaign-Urbana Univ Area,+1(217)3981000
10036808,The Fairmont Dallas,+1(214)7202020
10036812,"The Plaza, A Fairmont Managed Hotel",+1(212)7593000
10036821,The Fairmont Olympic Hotel,+1(206)6211700
10031231,Holiday Inn Birmingham - Hoover,+1(205)6822901
10036824,"Fairmont Washington, D.C., Georgetown",+1(202)4292400
10029310,DoubleTree by Hilton Hotel Bay City - Riverfront,+1(989)8916000
10031825,Holiday Inn Midland,+1(989)7948500
10025148,Four Points by Sheraton Saginaw,+1(989)7905050
10027494,Courtyard Bay City,+1(989)6341370
10027401,Courtyard Hammond,+1(985)9567730
10031381,Holiday Inn Covington,+1(985)8881200
10027400,Courtyard New Orleans Covington/Mandeville,+1(985)8710244
10031497,Holiday Inn Hammond - Northshore,+1(985)6623877
10031619,Holiday Inn Hotel & Suites Slidell,+1(985)6390890
10031646,Holiday Inn Houma,+1(985)6014500
10030768,Candlewood Suites Slidell Northshore,+1(985)3260120
10030617,Candlewood Suites Houma,+1(985)2744000
10027402,Courtyard Houma,+1(985)2238996
10026525,Hyatt Place College Station,+1(979)8469800
10027969,Courtyard College Station,+1(979)6958111
10029055,Hilton College Station & Conference Center,+1(979)6937500
10025181,Four Points by Sheraton College Station,+1(979)6931741
10031545,Holiday Inn Hotel & Suites College Station-Aggieland,+1(979)4858300
10030658,Candlewood Suites Lake Jackson-Clute,+1(979)2970011
10040576,The Inn at Dos Brisas,+1(979)2777750
10027481,Boston Marriott Peabody,+1(978)9779700
10027455,Courtyard Boston Andover,+1(978)7940700
10027470,Courtyard Boston Danvers,+1(978)7778630
10029372,DoubleTree by Hilton Hotel Boston North Shore,+1(978)7772500
10030220,Hilton Garden Inn Devens Common,+1(978)7720600
10027456,Courtyard Boston Billerica/Bedford,+1(978)6707500
10032197,Holiday Inn Tewksbury-Andover,+1(978)6409000
10031535,Holiday Inn Hotel & Suites Boston-Peabody,+1(978)5354600
10029380,DoubleTree by Hilton Hotel Leominster,+1(978)5349000
10027475,Courtyard Boston Lowell/Chelmsford,+1(978)4587575
10031246,Holiday Inn Boxborough (I-495 Exit 28),+1(978)2638701
10026381,Hyatt House Morristown,+1(973)9710008
10027638,Courtyard Hanover Whippany,+1(973)8878700
10027620,Courtyard Newark Downtown,+1(973)8480070
10027618,Courtyard Rockaway-Mt. Arlington,+1(973)7702000
10029387,DoubleTree by Hilton Hotel Newark Airport,+1(973)6905500
10027635,Courtyard West Orange,+1(973)6694725
10026385,Hyatt Morristown at Headquarters Plaza,+1(973)6471234
10027621,Courtyard Newark Liberty International Airport,+1(973)6438500
10027619,Newark Liberty International Airport Marriott,+1(973)6230006
10029005,Hilton Newark Penn Station,+1(973)6225000
10026384,Hyatt House Parsippany/Whippany,+1(973)6051001
10026056,"The Westin Governor Morris, Morristown",+1(973)5397300
10027637,Hanover Marriott,+1(973)5388811
10025684,Sheraton Parsippany Hotel,+1(973)5152000
10030441,Element Harrison - Newark ,+1(973)4841500
