英文州名,中文译名/别名,缩写
Alabama,亚拉巴马,AL
Alaska,阿拉斯加,AK
Arizona,亚利桑那,AZ
Arkansas,阿肯色,AR
California,加利福尼亚（加州）,CA
Colorado,科罗拉多,CO
Connecticut,康涅狄格,CT
Delaware,特拉华,DE
Florida,佛罗里达（佛州）,FL
Georgia,佐治亚,GA
Hawaii,夏威夷,HI
Idaho,爱达荷,ID
Illinois,伊利诺伊,IL
Indiana,印第安纳,IN
Iowa,艾奥瓦,IA
Kansas,堪萨斯,KS
Kentucky,肯塔基,KY
Louisiana,路易斯安那,LA
Maine,缅因,ME
Maryland,马里兰,MD
Massachusetts,马萨诸塞,MA
Michigan,密歇根,MI
Minnesota,明尼苏达,MN
Mississippi,密西西比,MS
Missouri,密苏里,MO
Montana,蒙大拿,MT
Nebraska,内布拉斯加,NE
Nevada,内华达,NV
New Hampshire,新罕布什尔,NH
New Jersey,新泽西,NJ
New Mexico,新墨西哥,NM
New York,纽约,NY
North Carolina,北卡罗来纳,NC
North Dakota,北达科他,ND
Ohio,俄亥俄,OH
Oklahoma,俄克拉荷马,OK
Oregon,俄勒冈,OR
Pennsylvania,宾夕法尼亚（宾州）,PA
Rhode Island,罗得岛,RI
South Carolina,南卡罗来纳,SC
South Dakota,南达科他,SD
Tennessee,田纳西,TN
Texas,得克萨斯（德克萨斯/德州）,TX
Utah,犹他,UT
Vermont,佛蒙特,VT
Virginia,弗吉尼亚,VA
Washington,华盛顿,WA
West Virginia,西弗吉尼亚,WV
Wisconsin,威斯康星,WI
Wyoming,怀俄明,WY
District of Columbia,哥伦比亚特区（华盛顿）,DC
